gar_bro_id,date,gmw_bro_id,nitg_code,tube_number,screen_top_m_nap,screen_bottom_m_nap,ground_level_m_nap,screen_depth_below_ground_m,NO3_mgL,NO3_limit,NH4_mgL,NH4_limit,NO2_mgL,NO2_limit,Cl_mgL,SO4_mgL
GAR000000004719,1958-11-19,GMW000000037602,B15H0001,4,-122.35,-123.35,-3.81,119.54,,,3.03,,,,,
GAR000000004720,1983-11-08,GMW000000037602,B15H0001,4,-122.35,-123.35,-3.81,119.54,,,4.66,,,,,
GAR000000004721,1990-11-01,GMW000000037602,B15H0001,4,-122.35,-123.35,-3.81,119.54,,,3.42,,,,6.9,
GAR000000004545,1956-08-16,GMW000000037668,B26E0003,2,-121.94,-122.94,2.69,125.63,0.0045,LT,0.03,,0.006,LT,,15
GAR000000004546,1961-02-10,GMW000000037668,B26E0003,2,-121.94,-122.94,2.69,125.63,0.0045,LT,0.04,,,,,11
GAR000000004547,1965-11-30,GMW000000037668,B26E0003,2,-121.94,-122.94,2.69,125.63,,,0.04,,0.006,LT,,12
GAR000000004548,1969-06-25,GMW000000037668,B26E0003,2,-121.94,-122.94,2.69,125.63,0.0045,LT,0.03,,0.006,,,12
GAR000000004549,1997-10-07,GMW000000037668,B26E0003,2,-121.94,-122.94,2.69,125.63,0.11,LT,0.03,LT,0.006,LT,0.5,8
GAR000000004550,2003-01-24,GMW000000037668,B26E0003,2,-121.94,-122.94,2.69,125.63,0.11,LT,0.03,LT,0.006,LT,0.5,10
GAR000000004467,1992-11-03,GMW000000037662,B26D0086,4,-121.38,-122.38,-3.38,119.0,0.01,LT,2.25,,0.01,LT,2,16
GAR000000004468,1998-11-12,GMW000000037662,B26D0086,4,-121.38,-122.38,-3.38,119.0,0.11,LT,2.8,,0.006,LT,1.7,26
GAR000000004469,2006-06-13,GMW000000037662,B26D0086,4,-121.38,-122.38,-3.38,119.0,0.01,LT,2.1,,0.003,LT,,11
GAR000000004470,2018-12-06,GMW000000037662,B26D0086,4,-121.38,-122.38,-3.38,119.0,0.05,LT,2.8,,0.01,LT,6.3,15
GAR000000004669,2015-10-09,GMW000000037662,B26D0086,4,-121.38,-122.38,-3.38,119.0,0.05,LT,2.8,,0.01,,9.7,13
GAR000000065376,2024-09-17,GMW000000037662,B26D0086,4,-121.38,-122.38,-3.38,119.0,0.05,LT,2.85,,0.01,LT,155.85,13.01
GAR000000004500,1994-12-01,GMW000000011635,B26D0092,3,-120.52,-121.52,-3.52,118.0,0.01,LT,1.63,,0.01,LT,1.4,18
GAR000000004501,1998-11-12,GMW000000011635,B26D0092,3,-120.52,-121.52,-3.52,118.0,0.11,LT,2.1,,0.006,LT,1.4,20
GAR000000004502,2015-10-06,GMW000000011635,B26D0092,3,-120.52,-121.52,-3.52,118.0,0.05,LT,2,,0.01,,10,17
GAR000000012563,1992-08-27,GMW000000034124,B32A0458,6,-119.95,-120.95,4.12,125.07,0.04,LT,0.21,,,,,14
